# format org.openvanilla.mcbopomofo.sorted
三-ㄙㄢ-通-ㄊㄨㄥ -5.0094
三-ㄙㄢ-部-ㄅㄨˋ -5.2218
三-ㄙㄢ-重-ㄔㄨㄥˊ -5.1667
三-ㄙㄢ-重-ㄔㄨㄥˊ-縣-ㄒㄧㄢˋ -5.0229
三-ㄙㄢ-項-ㄒㄧㄤˋ -5.1807
三-ㄙㄢ-點-ㄉㄧㄢˇ -4.6501
三-ㄙㄢˋ-思-ㄙ -5.7486
上-ㄕㄤˇ-聲-ㄕㄥ -6.4889
上-ㄕㄤˋ-上-ㄕㄤˋ -5.4038
上-ㄕㄤˋ-下-ㄒㄧㄚˋ -4.4817
上-ㄕㄤˋ-下-ㄒㄧㄚˋ-班-ㄅㄢ -5.3674
上-ㄕㄤˋ-了-ㄌㄜ˙ -4.5612
上-ㄕㄤˋ-任-ㄖㄣˋ -4.8199
上-ㄕㄤˋ-來-ㄌㄞˊ -4.5886
上-ㄕㄤˋ-傳-ㄔㄨㄢˊ -4.9490
上-ㄕㄤˋ-到-ㄉㄠˋ -5.3695
上-ㄕㄤˋ-前-ㄑㄧㄢˊ -5.2218
上-ㄕㄤˋ-千-ㄑㄧㄢ -5.1915
上-ㄕㄤˋ-升-ㄕㄥ -4.5876
上-ㄕㄤˋ-午-ㄨˇ -4.2484
上-ㄕㄤˋ-半-ㄅㄢˋ -5.2418
上-ㄕㄤˋ-去-ㄑㄩˋ -4.5120
上-ㄕㄤˋ-台-ㄊㄞˊ -4.7958
上-ㄕㄤˋ-司-ㄙ -5.1772
上-ㄕㄤˋ-場-ㄔㄤˇ -5.0796
上-ㄕㄤˋ-天-ㄊㄧㄢ -5.2714
上-ㄕㄤˋ-好-ㄏㄠˇ -5.3033
上-ㄕㄤˋ-學-ㄒㄩㄝˊ -4.7715
上-ㄕㄤˋ-將-ㄐㄧㄤˋ -5.3533
上-ㄕㄤˋ-山-ㄕㄢ -4.9326
上-ㄕㄤˋ-岸-ㄢˋ -5.3863
上-ㄕㄤˋ-市-ㄕˋ -4.4636
上-ㄕㄤˋ-帝-ㄉㄧˋ -4.6816
上-ㄕㄤˋ-廁-ㄘㄜˋ-所-ㄙㄨㄛˇ -5.3829
上-ㄕㄤˋ-揚-ㄧㄤˊ -5.2759
上-ㄕㄤˋ-方-ㄈㄤ -5.1565
上-ㄕㄤˋ-映-ㄧㄥˋ -5.2218
上-ㄕㄤˋ-有-ㄧㄡˇ -4.4582
上-ㄕㄤˋ-次-ㄘˋ -4.6100
上-ㄕㄤˋ-海-ㄏㄞˇ -4.3783
上-ㄕㄤˋ-游-ㄧㄡˊ -4.9704
上-ㄕㄤˋ-演-ㄧㄢˇ -4.9770
上-ㄕㄤˋ-漲-ㄓㄤˇ -4.6650
上-ㄕㄤˋ-班-ㄅㄢ -4.3903
上-ㄕㄤˋ-班-ㄅㄢ-族-ㄗㄨˊ -4.7485
上-ㄕㄤˋ-當-ㄉㄤˋ -5.2297
上-ㄕㄤˋ-百-ㄅㄞˇ -5.0118
上-ㄕㄤˋ-看-ㄎㄢˋ -4.8168
上-ㄕㄤˋ-空-ㄎㄨㄥ -5.2714
上-ㄕㄤˋ-第-ㄉㄧˋ -5.3750
上-ㄕㄤˋ-級-ㄐㄧˊ -5.0881
上-ㄕㄤˋ-網-ㄨㄤˇ -4.5014
上-ㄕㄤˋ-線-ㄒㄧㄢˋ -5.1148
上-ㄕㄤˋ-萬-ㄨㄢˋ -5.0939
上-ㄕㄤˋ-街-ㄐㄧㄝ -5.0968
上-ㄕㄤˋ-訴-ㄙㄨˋ -5.2218
上-ㄕㄤˋ-課-ㄎㄜˋ -4.3909
上-ㄕㄤˋ-路-ㄌㄨˋ -4.8309
上-ㄕㄤˋ-車-ㄔㄜ -5.3533
上-ㄕㄤˋ-述-ㄕㄨˋ -4.4146
上-ㄕㄤˋ-週-ㄓㄡ -4.9929
上-ㄕㄤˋ-進-ㄐㄧㄣˋ -5.3128
上-ㄕㄤˋ-門-ㄇㄣˊ -5.2377
上-ㄕㄤˋ-限-ㄒㄧㄢˋ -4.8869
上-ㄕㄤˋ-面-ㄇㄧㄢˋ -4.0611
上-ㄕㄤˋ-面-ㄇㄧㄢˋ-的-ㄉㄜ˙ -4.9058
上-ㄕㄤˋ-頭-ㄊㄡˊ -5.1879
上-ㄕㄤˋ-頭-ㄊㄡ˙ -5.1879
下-ㄒㄧㄚˋ-一-ㄧ-代-ㄉㄞˋ -5.0899
下-ㄒㄧㄚˋ-一-ㄧ-個-ㄍㄜ˙ -4.9414
下-ㄒㄧㄚˋ-一-ㄧ-步-ㄅㄨˋ -5.4157
下-ㄒㄧㄚˋ-一-ㄧˊ-代-ㄉㄞˋ -5.0899
下-ㄒㄧㄚˋ-一-ㄧˊ-個-ㄍㄜ˙ -4.9414
